序号,关卡,选项,分数,内容
ID,levelId,select,selectScore,content
1,level1,news1_select_11,0,迪恩总统一直都是一个心系百姓的基恩共和国人，他的当选是整个国家的好消息！在此祝贺迪恩总统当选！
2,level1,news1_select_12,0,迪恩总统通过合法方式成为总统，对此我们予以承认。但是安东尼迪恩依旧只是一个政客，他未来是否能兑现承诺，依旧是个谜。
3,level1,news1_select_21,0,迪恩总统的上台后还需要尽快恢复政府公信力，目前国家才刚刚稳定下来，人民急需食品，医疗，安全等一系列保障。
4,level1,news1_select_22,0,因为前政府的无视经济规律的胡作非为，国家经济已经到了崩溃的边缘。应当第一时间促进贸易，吸引外资，挽救已是一片废墟的经济！
5,level1,news1_select_31,0,总统在演讲中曾提到，将会积极保护工人阶级利益，对目前国内的各大企业进行监管，这也是目前我们迫切渴望的。
6,level1,news1_select_32,0,总统的第一步，我认为应该是放宽市场限制，鼓励私有制与竞争，促进人民消费。保护创新产权与合同契约关系。
7,level1,news1_select_41,0,但愿国家能够尽快实现社会平等与共同富裕，让人民享受到免费或低价的社会保险与服务，消除阶级差异，实现社会公正与团结。
8,level1,news1_select_42,0,但愿未来我们可以生活在一个弱势群体受到保护，一个尊重多元化，包容其他民族的法治自由社会。
9,level2,news2_select_11,4,总统派出“青年军”维护城市治安，是一项明智而必要的举措，体现了政府对社会秩序和国家安全的高度责任感和担当。
10,level2,news2_select_12,-4,总统派出“青年军”维护城市治安，是一项危险而非法的行为，侵犯了人民的基本权利和自由，破坏了民主制度和法治原则。
11,level2,news2_select_21,5,在当前的动荡局势下，有必要动员一切力量来保护人民的生命财产，打击暴力犯罪，维护法律尊严。
12,level2,news2_select_22,-5,在一个自由开放的社会中，人民有权利表达自己的意见和诉求，有权利通过和平合法的方式来监督和制约政府的权力。
13,level2,news2_select_31,6,青年军是一支忠诚、勇敢、有纪律的队伍，在总统的领导下，为国家和人民奉献了自己的青春和热血，他们是国家的骄傲，人民的英雄。
14,level2,news2_select_32,-6,青年军是受政府操控、缺乏监督和约束的私人武装，在总统的指挥下，滥用暴力，镇压反对者，侵害公民人身安全和财产权利，他们是国家的耻辱，人民公敌。
15,level2,news2_select_41,7,任何对他们的诽谤和攻击，都是对国家和人民利益的背叛和侮辱，都应该受到法律的严惩。
